Resistance,Frequency_Hz,Vs_Vpp_Run1,VR_Vpp_Run1,Gain_Run1,Run_Run1,Vs_Vpp_Run2,VR_Vpp_Run2,Gain_Run2,Run_Run2,Gain_Diff,Abs_Gain_Diff,Relative_Gain_Diff_Percent,Vs_Diff,VR_Diff,Suspicious
22,3450,1.26,0.392,0.3111111111111111,1,1.26,0.392,0.3111111111111111,2,0.0,0.0,0.0,0.0,0.0,False
22,3500,1.3,0.39,0.3,1,1.3,0.384,0.29538461538461536,2,-0.004615384615384632,0.004615384615384632,1.538461538461544,0.0,-0.006000000000000005,False
22,3600,1.38,0.372,0.26956521739130435,1,1.38,0.368,0.26666666666666666,2,-0.002898550724637683,0.002898550724637683,1.0752688172043017,0.0,-0.0040000000000000036,False
22,3800,1.5,0.334,0.22266666666666668,1,1.44,0.328,0.2277777777777778,2,0.005111111111111122,0.005111111111111122,2.2954091816367312,-0.06000000000000005,-0.006000000000000005,False
22,4000,1.62,0.306,0.18888888888888888,1,1.62,0.304,0.1876543209876543,2,-0.001234567901234579,0.001234567901234579,0.653594771241836,0.0,-0.0020000000000000018,False
22,4500,1.76,0.244,0.13863636363636364,1,1.78,0.244,0.13707865168539327,2,-0.0015577119509703752,0.0015577119509703752,1.1235955056179756,0.020000000000000018,0.0,False
22,5000,1.86,0.204,0.1096774193548387,1,1.86,0.202,0.1086021505376344,2,-0.0010752688172042946,0.0010752688172042946,0.9803921568627393,0.0,-0.001999999999999974,False
47,1000,2.06,0.144,0.06990291262135921,1,2.06,0.162,0.07864077669902912,2,0.00873786407766991,0.00873786407766991,12.500000000000012,0.0,0.018000000000000016,True
47,1500,1.98,0.224,0.11313131313131314,1,1.98,0.266,0.13434343434343435,2,0.02121212121212121,0.02121212121212121,18.749999999999996,0.0,0.04200000000000001,True
47,2000,1.84,0.344,0.1869565217391304,1,1.86,0.36,0.1935483870967742,2,0.006591865357643778,0.006591865357643778,3.5258814703676027,0.020000000000000018,0.016000000000000014,False
47,2300,1.7,0.44,0.25882352941176473,1,1.74,0.444,0.25517241379310346,2,-0.0036511156186612714,0.0036511156186612714,1.4106583072100365,0.040000000000000036,0.0040000000000000036,False
