Resistance_Ohm,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Gain_Recomputed,Gain_Error
100,3075,1.46,0.948,0.64932,0.6493150684931507,4.931506849326084e-06
100,3100,1.46,0.948,0.64932,0.6493150684931507,4.931506849326084e-06
100,3125,1.46,0.948,0.64932,0.6493150684931507,4.931506849326084e-06
100,3150,1.46,0.95,0.65068,0.6506849315068493,-4.9315068492150615e-06
100,3175,1.46,0.95,0.65068,0.6506849315068493,-4.9315068492150615e-06
100,3200,1.46,0.948,0.64932,0.6493150684931507,4.931506849326084e-06
100,3225,1.46,0.944,0.64658,0.6465753424657534,4.6575342466104175e-06
100,3250,1.46,0.944,0.64658,0.6465753424657534,4.6575342466104175e-06
100,3275,1.46,0.944,0.64658,0.6465753424657534,4.6575342466104175e-06
100,3300,1.46,0.944,0.64658,0.6465753424657534,4.6575342466104175e-06
100,3325,1.48,0.944,0.63784,0.6378378378378378,2.1621621622003317e-06
100,3350,1.5,0.94,0.62667,0.6266666666666666,3.3333333333551707e-06
100,3375,1.5,0.936,0.624,0.624,0.0
100,3400,1.5,0.936,0.624,0.624,0.0
100,3450,1.5,0.928,0.61867,0.6186666666666667,3.3333333333551707e-06
100,3500,1.5,0.92,0.61333,0.6133333333333334,-3.3333333333551707e-06
100,3600,1.5,0.904,0.60267,0.6026666666666667,3.3333333333551707e-06
100,3800,1.54,0.88,0.57143,0.5714285714285714,1.4285714285966478e-06
100,4000,1.62,0.828,0.51111,0.5111111111111111,-1.1111111111183902e-06
100,4500,1.7,0.72,0.42353,0.4235294117647059,5.882352941410929e-07
100,5000,1.78,0.636,0.3573,0.35730337078651686,-3.370786516854185e-06
150,1000,2.02,0.44,0.21782,0.21782178217821782,-1.7821782178073509e-06
150,1500,1.94,0.604,0.31134,0.311340206185567,-2.0618556700879864e-07
150,2000,1.82,0.86,0.47253,0.4725274725274725,2.5274725274915255e-06
150,2300,1.74,0.976,0.56092,0.560919540229885,4.59770114979996e-07
150,2500,1.66,1.04,0.62651,0.6265060240963856,3.975903614450438e-06
