Resistance,Frequency_Hz,Vs_Vpp,VR_Vpp,Gain,Run
150,4000,1.66,1.0,0.6024096385542169,1
150,4500,1.74,0.896,0.5149425287356322,1
150,5000,1.78,0.808,0.45393258426966293,1
150,1000,2.02,0.44,0.21782178217821782,2
150,1500,1.94,0.604,0.311340206185567,2
150,2000,1.82,0.86,0.4725274725274725,2
150,2300,1.74,0.976,0.560919540229885,2
150,2500,1.66,1.04,0.6265060240963856,2
150,2600,1.66,1.07,0.6445783132530121,2
150,2700,1.64,1.095,0.6676829268292683,2
150,2800,1.62,1.1,0.6790123456790124,2
150,2850,1.62,1.115,0.6882716049382716,2
150,2900,1.61,1.12,0.6956521739130435,2
150,2950,1.59,1.12,0.7044025157232705,2
150,3000,1.59,1.125,0.7075471698113207,2
150,3025,1.58,1.125,0.7120253164556962,2
150,3050,1.58,1.13,0.7151898734177214,2
150,3075,1.58,1.13,0.7151898734177214,2
150,3100,1.58,1.13,0.7151898734177214,2
150,3125,1.58,1.13,0.7151898734177214,2
150,3150,1.58,1.13,0.7151898734177214,2
150,3175,1.58,1.13,0.7151898734177214,2
150,3200,1.58,1.13,0.7151898734177214,2
150,3225,1.58,1.13,0.7151898734177214,2
150,3250,1.58,1.125,0.7120253164556962,2
150,3275,1.58,1.12,0.7088607594936709,2
150,3300,1.58,1.12,0.7088607594936709,2
150,3325,1.58,1.12,0.7088607594936709,2
150,3350,1.58,1.12,0.7088607594936709,2
150,3375,1.58,1.12,0.7088607594936709,2
150,3400,1.58,1.12,0.7088607594936709,2
150,3450,1.58,1.11,0.7025316455696203,2
150,3500,1.59,1.1,0.6918238993710693,2
150,3600,1.62,1.095,0.6759259259259258,2
150,3800,1.63,1.065,0.6533742331288344,2
150,4000,1.66,1.025,0.6174698795180723,2
150,4500,1.71,0.92,0.5380116959064328,2
150,5000,1.78,0.84,0.47191011235955055,2
200,1000,2.02,0.576,0.2851485148514851,1
200,1500,1.94,0.824,0.4247422680412371,1
